2023-07-25 05:05:39,774 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 29.0
2023-07-29 07:06:51,181 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-29 07:14:30,092 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-29 13:06:51,453 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-29 13:14:12,058 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1181.0
2023-07-29 13:14:30,217 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-29 17:26:55,349 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-29 19:06:51,647 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-29 19:13:48,143 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1194.0
2023-07-29 19:14:30,306 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-29 23:26:55,477 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-30 01:06:51,853 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-30 01:14:00,249 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1206.0
2023-07-30 01:14:30,397 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-30 05:05:41,540 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-30 05:14:27,464 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-30 05:26:55,626 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-30 05:45:53,955 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-30 07:06:52,035 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-30 07:14:00,334 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1219.0
2023-07-30 07:14:30,327 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-30 11:26:55,769 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-30 13:06:52,255 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-30 13:14:00,299 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1232.0
2023-07-30 13:14:30,697 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-30 17:26:55,900 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-30 19:06:52,486 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-30 19:14:00,504 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1245.0
2023-07-30 19:14:30,650 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-30 23:26:56,046 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-31 01:06:52,683 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-31 01:14:30,741 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-31 05:05:41,893 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-31 05:14:27,892 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-31 05:26:56,554 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-31 05:45:54,822 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-31 07:06:52,879 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-31 07:13:48,569 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1270.0
2023-07-31 07:14:30,817 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-31 11:26:56,294 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-31 13:06:53,087 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-31 13:14:30,889 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-31 17:26:56,456 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-07-31 19:06:53,315 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-07-31 19:13:48,740 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1296.0
2023-07-31 19:14:30,856 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-07-31 23:26:56,605 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-01 01:06:53,516 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-01 01:14:30,953 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-01 05:05:42,259 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-01 05:14:28,549 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-01 05:26:56,720 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-01 05:45:55,628 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-01 05:48:28,034 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1319.0
2023-08-01 07:06:53,728 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-01 07:13:49,215 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1322.0
2023-08-01 07:14:31,023 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-01 11:26:56,877 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-01 13:06:53,940 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-01 13:14:13,178 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1336.0
2023-08-01 13:14:31,138 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-01 17:26:57,027 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-01 19:06:54,200 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-01 19:13:49,134 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1349.0
2023-08-01 19:14:31,374 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-01 23:26:57,182 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-02 01:06:54,366 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-02 01:14:01,250 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1363.0
2023-08-02 01:14:31,321 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-02 05:05:42,597 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-02 05:14:29,039 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-02 05:26:57,305 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-02 05:27:09,936 - Message didn't contain expected 'uplink_message.frm_payload' field
2023-08-02 05:27:21,933 - Message didn't contain expected 'uplink_message.frm_payload' field
2023-08-02 05:27:35,478 - Message didn't contain expected 'uplink_message.frm_payload' field
2023-08-02 05:27:52,485 - Message didn't contain expected 'uplink_message.frm_payload' field
2023-08-02 05:28:15,480 - Message didn't contain expected 'uplink_message.frm_payload' field
2023-08-02 05:28:49,169 - Message didn't contain expected 'uplink_message.frm_payload' field
2023-08-02 05:45:56,488 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-02 05:48:04,509 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1373.0
2023-08-02 07:06:54,555 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-02 07:13:49,432 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1376.0
2023-08-02 07:14:31,525 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-02 11:26:57,495 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-02 13:06:54,782 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-02 13:07:06,760 - Message didn't contain expected 'uplink_message.frm_payload' field
2023-08-02 13:07:18,778 - Message didn't contain expected 'uplink_message.frm_payload' field
2023-08-02 13:13:49,389 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1390.0000000000002
2023-08-02 13:14:31,479 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-02 17:26:57,587 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-02 19:06:54,981 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-02 19:14:31,730 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-02 23:26:57,724 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-03 01:06:55,183 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-03 01:13:49,712 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1417.0
2023-08-03 01:14:31,665 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-03 05:05:42,964 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-03 05:14:29,831 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-03 05:26:57,853 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-03 05:45:57,299 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-03 05:48:04,633 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1427.0
2023-08-03 07:06:55,394 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-03 07:14:13,704 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1430.0
2023-08-03 07:14:31,892 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-03 11:26:57,994 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-03 13:06:55,605 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-03 13:13:49,766 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1443.0
2023-08-03 13:14:31,977 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-03 17:26:58,114 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-03 19:06:55,806 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-03 19:14:13,994 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1456.0
2023-08-03 19:14:32,071 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-03 23:26:58,296 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-04 01:06:56,011 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-04 01:14:01,956 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1470.0
2023-08-04 01:14:32,014 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-04 01:14:33,252 - Message didn't contain expected 'uplink_message.frm_payload' field
2023-08-04 01:14:45,686 - Message didn't contain expected 'uplink_message.frm_payload' field
2023-08-04 01:14:57,694 - Message didn't contain expected 'uplink_message.frm_payload' field
2023-08-04 01:15:09,272 - Message didn't contain expected 'uplink_message.frm_payload' field
2023-08-04 05:05:43,315 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-04 05:14:30,252 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-04 05:26:58,422 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-04 05:45:58,142 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-04 05:48:05,261 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1480.0
2023-08-04 07:06:56,226 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-04 07:14:32,112 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-04 11:26:58,566 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 49.0
2023-08-04 13:06:56,488 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 2.0
2023-08-04 13:13:50,159 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1498.0
2023-08-04 17:26:58,743 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 57.0
2023-08-04 19:06:56,698 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 3.0
2023-08-04 19:13:50,253 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1510.0
2023-08-04 19:14:32,468 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-04 23:26:58,906 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 57.0
2023-08-05 01:06:56,893 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 3.0
2023-08-05 01:13:50,502 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1523.0000000000002
2023-08-05 01:14:32,437 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-05 05:05:43,707 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-05 05:14:30,722 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 57.0
2023-08-05 05:26:59,019 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 57.0
2023-08-05 05:45:59,016 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 3.0
2023-08-05 05:48:05,510 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1532.0
2023-08-05 07:06:57,112 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 3.0
2023-08-05 07:13:50,449 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1535.0000000000002
2023-08-05 07:14:32,498 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8a57/up, Message: Device: Scall3, Current Flow: 31.0
2023-08-05 11:26:59,186 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 57.0
2023-08-05 13:06:57,334 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b778e/up, Message: Device: Scall2, Current Flow: 3.0
2023-08-05 13:13:50,649 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b7813/up, Message: Device: Siapa, Current Flow: 1547.0
2023-08-05 13:14:32,795 - Failed to parse payload: '14'
2023-08-05 17:26:59,333 - Topic: v3/ifempto@scalldigital/devices/eui-8cf95720000b8c4c/up, Message: Device: Scall1, Current Flow: 57.0
